Rua,Bairro,Path_Coordinates
Rua Lauro Müller,Botafogo,"[[-43.18656669036654, -22.95418898425841], [-43.18572762831723, -22.954393311007404], [-43.186637805719236, -22.95340680097656], [-43.18689435758643, -22.95288478512957], [-43.18638582763974, -22.95309986875711]]"
Largo Professor Saul Borges Carneiro,Laranjeiras,"[[-43.1886572730442, -22.93563726448377], [-43.18915527027767, -22.93506216631205], [-43.189438113354626, -22.934934018254385], [-43.18995731552884, -22.93462075610697], [-43.18912083735549, -22.9352375702155]]"
Praça Shimon Peres,Copacabana,"[[-43.185466420220045, -22.969174883302223], [-43.186115976675836, -22.97010284566564], [-43.18655101918788, -22.96936930495663], [-43.186387774601904, -22.968468386615477], [-43.18622759693257, -22.96859515823594]]"
Rua Almirante Tamandaré,Catete,"[[-43.1791816976504, -22.926805023604164], [-43.1782887846241, -22.926016834999096], [-43.17844988863619, -22.925231718544122], [-43.178497217169586, -22.924670987538107], [-43.17908785695147, -22.924675907833816]]"
Rua Almirante Tamandaré,Flamengo,"[[-43.17426981879028, -22.937710611805596], [-43.17512750221993, -22.938296460187175], [-43.17424593317892, -22.93915844500195], [-43.17442710903529, -22.939144604126028], [-43.173755457179475, -22.938522846964013]]"
Rua Assunção,Botafogo,"[[-43.1843720958788, -22.950273263104886], [-43.183620329711765, -22.950970072955286], [-43.18405538485902, -22.950891883849813], [-43.18498024267822, -22.951041427478938], [-43.18444914917719, -22.95178569387649]]"
Rua Visconde de Silva,Humaitá,"[[-43.197672193479995, -22.955864938913486], [-43.198219942817495, -22.95491878258754], [-43.198612057792985, -22.95531038514827], [-43.19960911014881, -22.955849551824034], [-43.19867541914922, -22.95539086223586]]"
Rua Sousa Lima,Copacabana,"[[-43.18060944772545, -22.966048622038247], [-43.18100358591417, -22.96620336364422], [-43.18057834324797, -22.966552773376172], [-43.18121511531246, -22.96591921444316], [-43.180411234918964, -22.966177332426845]]"
Rua Dona Mariana,Botafogo,"[[-43.18594082879383, -22.950374510441907], [-43.18561880028534, -22.95019323477392], [-43.185529806367136, -22.951036323141285], [-43.18619516375913, -22.95061768148434], [-43.1860276181981, -22.95005641804949]]"
Rua Lacerda de Almeida,Botafogo,"[[-43.1846906767242, -22.953308043174665], [-43.18426182839606, -22.953714923350255], [-43.185056796467926, -22.95319691278521], [-43.18503901535674, -22.953169203856795], [-43.184173165631606, -22.953430642316363]]"
Rua José Roberto Macedo Soares,Gávea,"[[-43.23022970313712, -22.97431404018559], [-43.229840512282614, -22.973472051143396], [-43.22911713047504, -22.973014089020083], [-43.22850298866731, -22.973465945841397], [-43.22881230476282, -22.974075464635483]]"
Rua General Urquiza,Leblon,"[[-43.22049298083046, -22.983660776657512], [-43.22036883524165, -22.983206663134283], [-43.220376317735884, -22.982312481800065], [-43.22105024706202, -22.982551446380324], [-43.220581359197865, -22.981979035075803]]"
Rua Jardim Botânico,Gávea,"[[-43.232931492099276, -22.973566016033693], [-43.231990977879825, -22.973158616474436], [-43.23252103106983, -22.973283293818138], [-43.2318867747858, -22.972873551798052], [-43.230952704235285, -22.972780691165898]]"
Condomínio Bairro Abrumosa,Botafogo,"[[-43.183124157173104, -22.950589276316062], [-43.182524150209574, -22.951230765092248], [-43.182731042845596, -22.95112535094081], [-43.18200045132778, -22.95186192088365], [-43.18238087560936, -22.95254737446729]]"
Rua Marquês de Olinda,Botafogo,"[[-43.18351991161685, -22.950863782034745], [-43.18327016341763, -22.95136284623716], [-43.182604502664056, -22.951219354270872], [-43.1835801891211, -22.95040718014991], [-43.18447651752286, -22.95005914031179]]"
Rua Francisco Sá,Ipanema,"[[-43.20488224897929, -22.984559340402868], [-43.205214149047954, -22.984316755504768], [-43.205405094276806, -22.983851357403587], [-43.204837574591835, -22.984714651002967], [-43.20497204083264, -22.98514313435378]]"
Morada do Sol,Botafogo,"[[-43.18605647371792, -22.95456048606312], [-43.18577300492332, -22.95367158889773], [-43.18550844061605, -22.953328630600396], [-43.185671772887844, -22.953930646322476], [-43.186469027092734, -22.95342876672575]]"
Rua Macedo Sobrinho,Humaitá,"[[-43.192117787554345, -22.956407886434434], [-43.19208038556558, -22.957272881341066], [-43.191139032474766, -22.95791415197704], [-43.19133183047004, -22.958687544967585], [-43.19092272161399, -22.958211774997917]]"
Rua Governador Irineu Bornhausen,Catete,"[[-43.17971434242105, -22.926114325728683], [-43.179748263025935, -22.92670365985127], [-43.18017333969614, -22.927166592339134], [-43.17923626503274, -22.926853080212183], [-43.18008230609861, -22.926645805811063]]"
Rua Governador Irineu Bornhausen,Flamengo,"[[-43.17884759808351, -22.937916255258155], [-43.178600300526924, -22.937718166083854], [-43.17906549647121, -22.937421156443616], [-43.1781354657323, -22.938390935075187], [-43.1777834131562, -22.938889148983804]]"
Rua Henrique de Novais,Botafogo,"[[-43.18667342247741, -22.953022555634718], [-43.18594123121019, -22.952827219069313], [-43.18672941960138, -22.951933751611467], [-43.185839947083814, -22.95262409438627], [-43.185073959434156, -22.9521510239296]]"
BRS 2 Barão de Ipanema,Copacabana,"[[-43.18161932868732, -22.966293162433498], [-43.182588538903936, -22.966476859051763], [-43.183082335825574, -22.966311006938156], [-43.182167173795406, -22.96641049844587], [-43.18148757058208, -22.966612427810585]]"
"BRS 1,3 - Avenida Nossa Senhora de Copacabana",Copacabana,"[[-43.185088641394756, -22.964637958273368], [-43.18522147580949, -22.965621318388912], [-43.18472470711014, -22.96643606742281], [-43.18485666516472, -22.965606970095113], [-43.18498785852671, -22.966089546810803]]"
Rua Ramon Franco,Urca,"[[-43.16232024989067, -22.95446327606309], [-43.162836205730706, -22.9541878995693], [-43.163653422758046, -22.953759794122544], [-43.16289848266474, -22.95436125344961], [-43.16387099155671, -22.953883807148156]]"
Rua Tubira,Leblon,"[[-43.22321464137832, -22.98717516203178], [-43.22329676034513, -22.988050109440294], [-43.223083296895695, -22.987584642490724], [-43.223920998538624, -22.987238899153528], [-43.223244014870936, -22.986335917733175]]"
Rua Teresa Guimarães,Botafogo,"[[-43.18503447620331, -22.9493037369512], [-43.18480090898761, -22.949903172915466], [-43.184325074200906, -22.94941740992813], [-43.18518815676224, -22.949374511879796], [-43.18434662354531, -22.949632286002934]]"
Rua Esteves Júnior,Laranjeiras,"[[-43.1885893064805, -22.937486878913706], [-43.18825638038545, -22.9366961867354], [-43.18834768953931, -22.936121412681896], [-43.188850922321826, -22.935860918242984], [-43.18899571965442, -22.935449996582417]]"
Rua General Dionísio,Humaitá,"[[-43.19761596192035, -22.953382316271185], [-43.19803119569952, -22.952732829796492], [-43.19898736904197, -22.952844990887478], [-43.19898210655671, -22.95324289873181], [-43.19899991509794, -22.954130546577115]]"
Travessa Visconde de Morais,Botafogo,"[[-43.18584197367974, -22.950313355631547], [-43.18632150048377, -22.950003008202497], [-43.187000575255226, -22.950684023677415], [-43.187629281845425, -22.951543039786127], [-43.18686590062174, -22.95121460101615]]"
Travessa Frederico Pamplona,Copacabana,"[[-43.18396487532222, -22.969837408819533], [-43.18446496142942, -22.970217795068887], [-43.18439385379966, -22.970187783749466], [-43.18468627548219, -22.970474011799123], [-43.184107689785556, -22.96981690060331]]"
Travessa Almirante Protogenes Guimarães,Catete,"[[-43.17933954474782, -22.922783109897985], [-43.17932827644098, -22.923074260000398], [-43.178575637574696, -22.92219201837533], [-43.17879017608815, -22.922986882450164], [-43.17878391114305, -22.922880140070664]]"
Avenida Afrânio de Melo Franco,Leblon,"[[-43.21967254975089, -22.98473835530202], [-43.219175838043554, -22.984020826743322], [-43.21895474453353, -22.984142405540823], [-43.218607453698574, -22.984821674728583], [-43.21821955451755, -22.985463168217105]]"
Rua Álvaro Ramos,Botafogo,"[[-43.188288047188685, -22.95390829305914], [-43.18782324509057, -22.953470813823433], [-43.18850051948846, -22.953440947123607], [-43.18946226155558, -22.954273838448586], [-43.188680550485614, -22.954942342094654]]"
Rua Ferreira Viana,Flamengo,"[[-43.17806583217151, -22.93906792709311], [-43.17785032680532, -22.93902947795155], [-43.17873486248687, -22.939538773323218], [-43.179266455745015, -22.939756707584962], [-43.17834673013959, -22.940317599738503]]"
Rua Ferreira Viana,Catete,"[[-43.17872633399942, -22.92600534937886], [-43.17833347438535, -22.925923539371183], [-43.17899008656994, -22.92551924717882], [-43.17916617037987, -22.925519021674667], [-43.17890333253744, -22.924777967742127]]"
Rua Engenheiro Moacir Reis,Laranjeiras,"[[-43.19009677656592, -22.93546617266406], [-43.190811092636295, -22.93579175951293], [-43.191398588408624, -22.93540761221888], [-43.19060723885339, -22.935623893472506], [-43.19059162872547, -22.93621526070571]]"
Rua Erfurt,Laranjeiras,"[[-43.19038572456211, -22.93434345131856], [-43.19026436797223, -22.934394941276608], [-43.18988710471362, -22.93413808836338], [-43.190867147160304, -22.934631543596335], [-43.19079583396161, -22.934184656271626]]"
Rua Djalma Ulrich,Copacabana,"[[-43.18278943204012, -22.965440042993272], [-43.182206315634936, -22.965772786201597], [-43.18283943124213, -22.96587019797554], [-43.182074311488584, -22.965160249936417], [-43.182922912033966, -22.96522763042414]]"
Rua Edmundo Lins,Copacabana,"[[-43.184479163545014, -22.965089355828724], [-43.18372446263875, -22.965955408604675], [-43.18364094071021, -22.966176598726715], [-43.184507811254385, -22.965240467102614], [-43.185359600409235, -22.96494383108771]]"
Largo do Millôr,Ipanema,"[[-43.201016905876585, -22.983799166603465], [-43.201374581571315, -22.98368104803357], [-43.201673540502746, -22.98424082538176], [-43.202536113147296, -22.984495758834242], [-43.20260763610782, -22.98475661043539]]"
Ciclovia Alfredo Sirkis,Ipanema,"[[-43.206949817908736, -22.982147406068623], [-43.206626449331935, -22.98271207126946], [-43.207615822380596, -22.9827440925331], [-43.20707020323402, -22.982135103248236], [-43.20793727658246, -22.98203826492225]]"
Rua Raul Pompéia,Ipanema,"[[-43.202489518045624, -22.981708240137053], [-43.202453501912814, -22.981102235993138], [-43.20211118696606, -22.98182158695675], [-43.20162668059166, -22.98158063938665], [-43.202236730191856, -22.982240877374547]]"
BRS 2 Santa Clara,Copacabana,"[[-43.18114770807301, -22.9650506290678], [-43.18083944259896, -22.96485631845582], [-43.180681829089934, -22.96407806260794], [-43.181368875657924, -22.963813279959282], [-43.180936081434005, -22.96386543751905]]"
Escadaria do Morro Santo Amaro,Catete,"[[-43.17985099623204, -22.926617039150653], [-43.18000129454631, -22.92718721387658], [-43.17998717525283, -22.926371536848812], [-43.18083323191407, -22.926995696087182], [-43.1810676343852, -22.926603383796905]]"
Ciclovia Alfredo Sirkis,Leblon,"[[-43.223068323763485, -22.984022551296754], [-43.223540199794094, -22.98363783345183], [-43.223267451231024, -22.98275969649293], [-43.22372842750644, -22.98311067289258], [-43.223339145588646, -22.983728819722437]]"
BRS 3: Sorocaba,Botafogo,"[[-43.184328186331236, -22.953312189838446], [-43.18377213584495, -22.952682310381366], [-43.18439669103356, -22.952160607719506], [-43.18399879337659, -22.95298383782554], [-43.184134100923785, -22.95324714339795]]"
Via Verde,Urca,"[[-43.16072488536439, -22.95779794157675], [-43.160610211025244, -22.958311148210313], [-43.16027651624263, -22.95923318956899], [-43.159480677868714, -22.959587134877484], [-43.15983009663199, -22.958810898499618]]"
Rua Álvares Borgerth,Botafogo,"[[-43.183230771913465, -22.949947506015256], [-43.18307736711575, -22.95044948854304], [-43.18388753124211, -22.951314976715103], [-43.18423425274325, -22.950317191491038], [-43.183620922637196, -22.94982082366694]]"
Ponto Final: General Osório :: Rua Teixeira de Melo,Ipanema,"[[-43.20675789503884, -22.98495102108846], [-43.207497733699185, -22.98512863805247], [-43.207776880044904, -22.986083786274143], [-43.207644518662455, -22.98551630977199], [-43.20733583465147, -22.98589075379357]]"
Rua da Matriz,Botafogo,"[[-43.18455754149081, -22.95031387968138], [-43.185479665457436, -22.94978927443238], [-43.18524061305736, -22.949115035176717], [-43.18499138496113, -22.94898824447529], [-43.18481751194801, -22.948259377981554]]"
Rua Adalberto Ferreira,Leblon,"[[-43.22204623716729, -22.98425961899759], [-43.22226777622391, -22.983844824997526], [-43.222074072470136, -22.984387074072558], [-43.221215793430105, -22.98353070987633], [-43.22116043849766, -22.98384689932012]]"
Rua Soares Cabral,Laranjeiras,"[[-43.18690294642176, -22.933213292552793], [-43.18647274609919, -22.93260446443344], [-43.18736605010521, -22.93241814799536], [-43.187016477500876, -22.932508619310255], [-43.187270232264034, -22.932153556082486]]"
Rua Canning,Ipanema,"[[-43.2028546961407, -22.983397843322706], [-43.20255741822716, -22.983003571710924], [-43.203245005089784, -22.98345299528402], [-43.2030464008575, -22.983181114630366], [-43.20263612256636, -22.983822402609785]]"
Cobal do Humaitá,Botafogo,"[[-43.18728162942854, -22.94987579752138], [-43.186723424255746, -22.950837507785387], [-43.1863241451165, -22.950618112935082], [-43.185718523246855, -22.949941802985105], [-43.18564665308915, -22.949019962691246]]"
Rua Barão de Itambi,Flamengo,"[[-43.17596435660271, -22.938777853742934], [-43.17512174157829, -22.93922382869428], [-43.174936061217274, -22.939057447085727], [-43.17583208251332, -22.939347597763973], [-43.17598541222501, -22.94028411023323]]"
Rua Cinco de Julho,Copacabana,"[[-43.18040251110089, -22.965214161966163], [-43.18098004743794, -22.964896071145898], [-43.180207860567315, -22.96417007748318], [-43.17973300839577, -22.96477677031327], [-43.17912772777107, -22.965203731215418]]"
Rua Fernando Mendes,Copacabana,"[[-43.181964216798406, -22.965115804805254], [-43.18203419776335, -22.964169039566926], [-43.182909409626156, -22.963474263705784], [-43.183775376550656, -22.963803705605628], [-43.183141428736114, -22.96285301933867]]"
Praça Vereador Rocha Leão,Copacabana,"[[-43.18338641444492, -22.969989379083284], [-43.18396482824182, -22.970847309305196], [-43.184026613819725, -22.97138857775112], [-43.18482465760609, -22.971851453416214], [-43.185530106478986, -22.972516471238027]]"
Ronald de Carvalho,Copacabana,"[[-43.18306155708095, -22.964693431208385], [-43.18246497068653, -22.96513669424506], [-43.18286620393912, -22.96548418640898], [-43.18360684598267, -22.966019174424563], [-43.18389620648573, -22.96650624830253]]"
Rua Alberto Ribeiro,Jardim Botânico,"[[-43.21814585815825, -22.96673695836201], [-43.21846056786521, -22.967443114514843], [-43.21915071724292, -22.966713796671126], [-43.21918164125276, -22.96754832299989], [-43.219054824523795, -22.967943483977333]]"
Rua Silva Castro,Copacabana,"[[-43.18266694743766, -22.967015805492675], [-43.182418950466605, -22.96772764792065], [-43.182443281829514, -22.96818036708493], [-43.18252411371509, -22.969015822436376], [-43.18187935129272, -22.96940289550029]]"
Rua Barão de Itambi,Botafogo,"[[-43.183949963542204, -22.95214941145521], [-43.18361553886782, -22.95200083630503], [-43.1828911329205, -22.951446737733725], [-43.18281508750977, -22.95181898674028], [-43.181836185247846, -22.951138770583402]]"
Rua Honório de Barros,Flamengo,"[[-43.17646364477556, -22.938529000896686], [-43.176478506634055, -22.938045717993013], [-43.17580204579189, -22.938079356266385], [-43.17508245644227, -22.93835654870825], [-43.17542599023091, -22.938542939106345]]"
Rua Mary Pessoa,Gávea,"[[-43.23182148470477, -22.977843987832816], [-43.23247050145, -22.97694109818149], [-43.23231187251668, -22.976805643545628], [-43.23202238201953, -22.97682639462153], [-43.231917057483976, -22.977366741169934]]"
Rua Marechal Mascarenhas de Morais,Copacabana,"[[-43.18227473549896, -22.96965265873976], [-43.182717449372724, -22.970282118028994], [-43.18335177381299, -22.970844698428348], [-43.183780358677666, -22.970193276525226], [-43.18284050562698, -22.969339028961496]]"
Rua Marechal Niemeyer,Botafogo,"[[-43.18351360641991, -22.95265271053972], [-43.1843395719833, -22.952917929082325], [-43.18364933028031, -22.95280435926047], [-43.18429908400005, -22.95221250648618], [-43.18485807547318, -22.951866977257357]]"
Rua Jornalista Orlando Dantas,Botafogo,"[[-43.18672051592089, -22.953401986283556], [-43.18597917785264, -22.954400679502033], [-43.18572451998246, -22.953815489875616], [-43.18642042284761, -22.95331495834774], [-43.186717984072914, -22.953398311158566]]"
Largo Otto Lara Resende,Jardim Botânico,"[[-43.22275964528569, -22.962475562097943], [-43.22334456341328, -22.962892640270955], [-43.22252769430952, -22.963416346963623], [-43.22259509548364, -22.963480208855156], [-43.22328611107563, -22.962959057570245]]"
Rua João Afonso,Humaitá,"[[-43.1920026537805, -22.95541853585672], [-43.19220692237447, -22.954879638068554], [-43.192865505647845, -22.954224531964005], [-43.19345660890291, -22.955163604591387], [-43.19343544738799, -22.95548278147916]]"
Rua Saturnino de Brito,Jardim Botânico,"[[-43.219992346132244, -22.9649408759427], [-43.22092252302693, -22.965840389923052], [-43.22104616580043, -22.96573806999922], [-43.22172480663101, -22.965059709209257], [-43.22182672909515, -22.966009765885023]]"
Rua Conde de Bernadote,Leblon,"[[-43.224030442000256, -22.984452410278916], [-43.224468342499925, -22.9842357712789], [-43.22470883945409, -22.984888779178192], [-43.22492465230028, -22.984285887625745], [-43.22567367970668, -22.983784348327323]]"
Rua Cupertino Durão,Leblon,"[[-43.22130531067095, -22.984735641220666], [-43.221530665635, -22.983877351786244], [-43.2224923546639, -22.984745021408575], [-43.222442883388574, -22.98409130428663], [-43.22297403218855, -22.98354081618296]]"
Rua Desembargador Sady Gusmão,Flamengo,"[[-43.1753927925598, -22.933931046052553], [-43.175861799744936, -22.933064635877034], [-43.17550479980835, -22.932841708654582], [-43.17480858133832, -22.933206609254068], [-43.17403887110293, -22.932312286328266]]"
Rubro-Negra,Leblon,"[[-43.21891983807732, -22.987110303747368], [-43.21848773813083, -22.988089734755498], [-43.218242359048936, -22.987677242430387], [-43.21861860017741, -22.986697024738213], [-43.21946072137151, -22.987017081010627]]"
Terminal da PUC :: Plataforma A,Gávea,"[[-43.22799256925846, -22.976539679786935], [-43.22862110311445, -22.97566871075988], [-43.22776384199022, -22.975923692896774], [-43.22857912093399, -22.976800075975397], [-43.22838869526574, -22.977474493996986]]"
Rua Conde de Baependi,Flamengo,"[[-43.1763908922379, -22.93701971283645], [-43.17644897173303, -22.937526395604838], [-43.175946617459125, -22.937202568339565], [-43.175790835233734, -22.936694832174144], [-43.17515601953912, -22.935886112624157]]"
Rua Eduardo Guinle,Botafogo,"[[-43.18702531633682, -22.95485873222668], [-43.18720292135906, -22.95453168503885], [-43.1864337475826, -22.954726872520254], [-43.18561539705449, -22.95393574682399], [-43.185233285429014, -22.954307990670962]]"
Rua Faro,Jardim Botânico,"[[-43.22094735427482, -22.966892205255917], [-43.22028545593271, -22.967032290016355], [-43.21981560423792, -22.96779250782941], [-43.22023971355257, -22.967729598001032], [-43.22063982941302, -22.967743958831967]]"
Rua Tenreiro Aranha,Copacabana,"[[-43.185000501552665, -22.969513566825526], [-43.184195675486095, -22.969420175461384], [-43.18372967527165, -22.969732260088268], [-43.18286656544303, -22.96941493737839], [-43.18273335492522, -22.96877297534379]]"
Rua General Góis Monteiro,Botafogo,"[[-43.186339231764855, -22.95250288729248], [-43.18568612961647, -22.95348126512521], [-43.18647722058027, -22.9528793037244], [-43.18654925718394, -22.952725588962135], [-43.18558812072982, -22.953488170771116]]"
Rua General Garzon,Jardim Botânico,"[[-43.2185667999372, -22.96443091572299], [-43.21824936465975, -22.965366028830896], [-43.219042834641996, -22.965301445078993], [-43.218906886047364, -22.9659563973251], [-43.21803025459006, -22.966363682098073]]"
Rua Guimarães Natal,Copacabana,"[[-43.17988165820321, -22.9689419749663], [-43.18018662061258, -22.969079507226716], [-43.18108109009686, -22.969978808172776], [-43.18116523210799, -22.96959478566088], [-43.18093729149534, -22.97014174240881]]"
Rua Gilberto Cardoso,Leblon,"[[-43.219758686640326, -22.986644747518106], [-43.21980398584408, -22.986003355196573], [-43.220078866250965, -22.986301716977902], [-43.22042250728537, -22.985690287926566], [-43.22125313060162, -22.986272169179152]]"
Travessa Cristiano Lacorte,Copacabana,"[[-43.18437256782132, -22.965454547737583], [-43.18375575634353, -22.965692565190245], [-43.183986534191575, -22.965045317968748], [-43.18437996240988, -22.965127069922175], [-43.18514267487839, -22.964261960165338]]"
Travessa Pepe,Botafogo,"[[-43.18810404563529, -22.95171056708388], [-43.18828854942529, -22.951759374700234], [-43.187975730218284, -22.952436937076286], [-43.187851352596155, -22.95149463526155], [-43.18871445169102, -22.951065128708663]]"
Rua Oliveira Fausto,Botafogo,"[[-43.182669107050714, -22.95122322498678], [-43.18351550095409, -22.950899669521835], [-43.18341417419521, -22.951190337111864], [-43.18274688617426, -22.951383921599597], [-43.18252322413405, -22.950754579590175]]"
Galeria Luiz Thomaz,Copacabana,"[[-43.18357061389908, -22.96986475409072], [-43.18321896804887, -22.970038409056308], [-43.18407875176959, -22.969722089407714], [-43.18471519403516, -22.96993157077685], [-43.18406058973568, -22.970617945366218]]"
Rua Mário Ribeiro,Leblon,"[[-43.21942401870593, -22.987790778065403], [-43.21996125743318, -22.987676697038854], [-43.21949828471377, -22.987671842464522], [-43.22005739270528, -22.986755606446682], [-43.21918878447694, -22.985983242902424]]"
Avenida Rodrigo Otávio,Leblon,"[[-43.222280736200894, -22.985021076073394], [-43.22221814816419, -22.984516280308785], [-43.22236123235649, -22.98416140416633], [-43.22171228932128, -22.983698411238244], [-43.22104642989013, -22.98440553872504]]"
Rua Rita Ludolf,Leblon,"[[-43.2224257570877, -22.986212189761954], [-43.222923418552604, -22.985382068296918], [-43.22295537740759, -22.984693643646345], [-43.22333844084461, -22.98466545276124], [-43.22368801845205, -22.984519368360004]]"
Rua Rodrigo de Brito,Botafogo,"[[-43.182429871277655, -22.95486172573956], [-43.18263956068271, -22.95393023131992], [-43.18294794848589, -22.95347348961124], [-43.1823370883998, -22.95313130329707], [-43.1825366638481, -22.952237790807686]]"
"Rua das Laranjeiras, 336",Laranjeiras,"[[-43.19064538240742, -22.933158006177237], [-43.19032637044411, -22.932950948564233], [-43.19108559528653, -22.932574857450085], [-43.19172322872843, -22.93169779788314], [-43.19227787657018, -22.93145229107666]]"
Ponto Final: Copacabana :: Linha 455,Copacabana,"[[-43.18473864639414, -22.967996839488613], [-43.184902356817815, -22.968654966683772], [-43.18410642752412, -22.968140400727222], [-43.184320219709, -22.968972145402702], [-43.18528703474774, -22.969771654275256]]"
Rua Jornalista Orlando Dantas,Flamengo,"[[-43.17799712300144, -22.938721885317108], [-43.17732722859005, -22.93967446980982], [-43.178056309516464, -22.938725088617723], [-43.17731949046857, -22.93926213819019], [-43.17748023570296, -22.93840921059428]]"
Rua Professor Alfredo Gomes,Botafogo,"[[-43.18594262934664, -22.951456300803585], [-43.18577612456202, -22.95239899594843], [-43.18520138064572, -22.95337639087525], [-43.186120864639705, -22.953763525229842], [-43.18632549581084, -22.953586820787876]]"
Avenida Francisco Bhering,Ipanema,"[[-43.2027433668122, -22.984748564913776], [-43.20193488022939, -22.98520558090869], [-43.201835143103835, -22.985456136967677], [-43.20198290062793, -22.986354990760027], [-43.20137160301721, -22.985690263680706]]"
Vila Gauy,Botafogo,"[[-43.182717609478985, -22.94999616812672], [-43.18281749220013, -22.950805446284175], [-43.18207611528921, -22.951130537726247], [-43.1826538634041, -22.951963487896887], [-43.18355127570614, -22.951458551221712]]"
Rua Paulo VI,Flamengo,"[[-43.17703256610809, -22.937693592926067], [-43.17770983139131, -22.937633711752206], [-43.177098966732714, -22.93748971999564], [-43.17779116692333, -22.93696939813606], [-43.17825481818784, -22.93767089919658]]"
BRS 1 - Rita Ludolf,Leblon,"[[-43.224359917407, -22.984721816699], [-43.22457609628111, -22.98565247129055], [-43.2251892255952, -22.985258143906275], [-43.22566956931932, -22.984975134943763], [-43.22487818943079, -22.984202962726137]]"
Rua Professora Estelita Lins,Laranjeiras,"[[-43.189356810488924, -22.936632176167603], [-43.18870468111983, -22.936287408481018], [-43.18805598022533, -22.935941224219196], [-43.188743346283914, -22.93614723989478], [-43.18902239727363, -22.935671337999985]]"
Rua Joaquim Nabuco,Ipanema,"[[-43.201044509227074, -22.985912622191158], [-43.200067667239146, -22.986600219175298], [-43.19948003103133, -22.985645659310165], [-43.19932441693083, -22.985326813386003], [-43.19974553788759, -22.984594610295247]]"
Rua Almirante Guilhem,Leblon,"[[-43.222135081275454, -22.986332857144784], [-43.22200661764209, -22.986672287809782], [-43.22260356088607, -22.98597113875375], [-43.222225385578575, -22.985102272676244], [-43.22211300419332, -22.984455726250882]]"
Rua Visconde de Silva,Botafogo,"[[-43.188059166845484, -22.94998971745132], [-43.187075241351, -22.949209890698594], [-43.18765460423843, -22.949621755774242], [-43.188148551556594, -22.949091029046524], [-43.18894286637228, -22.94835990428018]]"
Rua Ipu,Botafogo,"[[-43.183218676653425, -22.950856966610377], [-43.182865709154385, -22.951208307855673], [-43.18265940891414, -22.951019824201055], [-43.182508690567886, -22.950654759281978], [-43.18295684517913, -22.950796634543373]]"
Tricolor,Laranjeiras,"[[-43.18940000306411, -22.934945874163073], [-43.18890584652985, -22.934695213823165], [-43.18978595992812, -22.93525778604535], [-43.18957396599358, -22.935995838559364], [-43.19048397235111, -22.935296945746913]]"
Rua Engenheiro Fernando Nascimento da Silva,Laranjeiras,"[[-43.18522684270093, -22.936228829780482], [-43.18529616883305, -22.93656488677101], [-43.186132971393036, -22.937537521941486], [-43.187077266911395, -22.938020338759216], [-43.18722447019779, -22.937757588107118]]"
Rua Eugênio Hussek,Laranjeiras,"[[-43.18681705315089, -22.93732440782338], [-43.187716219603686, -22.936393802376116], [-43.18756245720106, -22.935613033734406], [-43.187561900130646, -22.935485194600894], [-43.18838214642717, -22.936346406429085]]"
Travessa Euricles Mattos,Laranjeiras,"[[-43.18836045677585, -22.933596391600535], [-43.187931019108845, -22.93430982868313], [-43.18788007849413, -22.934723121840246], [-43.187079550271726, -22.934327456269237], [-43.18672682813598, -22.933743073879633]]"
Rua Hans Staden,Botafogo,"[[-43.18829332743482, -22.95312505541502], [-43.188857544675564, -22.953581146296223], [-43.18859012147603, -22.953257477125995], [-43.18955763458961, -22.953070554360586], [-43.18991057376464, -22.952612998251684]]"
Rua Conde de Irajá,Humaitá,"[[-43.197192542397374, -22.956943614447432], [-43.19652950573115, -22.957754776652113], [-43.19622992963762, -22.95691798156795], [-43.19642587520384, -22.95771111333823], [-43.19586623343582, -22.95725323493802]]"
Rua São Leobaldo,São Conrado,"[[-43.18306042294409, -22.969827177724717], [-43.18403462800451, -22.970318215061482], [-43.18333232653366, -22.97023761624796], [-43.18320083663243, -22.969322352955416], [-43.184030723861454, -22.969293430299935]]"
Rua Embaixador Gabriel Landa,São Conrado,"[[-43.18286764191274, -22.970457188314697], [-43.183677711362286, -22.970976590067796], [-43.18448442169371, -22.97134675317862], [-43.183509749376555, -22.97199295927697], [-43.18344600584354, -22.97210475216316]]"
Rua São Manuel,Botafogo,"[[-43.183425157073735, -22.95140371330393], [-43.18381366915884, -22.951749831255256], [-43.183468654633494, -22.951944423813266], [-43.183838175764194, -22.951580040434756], [-43.183573383251264, -22.952313620586484]]"
Túnel Velho,Botafogo,"[[-43.18409633102163, -22.95073946723166], [-43.183350612178494, -22.950232523010342], [-43.18289011379944, -22.950232605026414], [-43.18351683391984, -22.949994259555684], [-43.18394775114849, -22.950942880265945]]"
Túnel Velho,Copacabana,"[[-43.18452252569976, -22.965400244016983], [-43.183595565804815, -22.966149144437185], [-43.1836385836646, -22.96693305531843], [-43.18355583482279, -22.966761927860844], [-43.18444178099478, -22.967589863546777]]"
Rua Conde Afonso Celso,Jardim Botânico,"[[-43.221597555247776, -22.964733930674193], [-43.220957420243664, -22.9644583823905], [-43.220961160356566, -22.965375224470808], [-43.22145653650243, -22.964996603646604], [-43.221229260696454, -22.965381061836016]]"
Rua Cesário Alvim,Humaitá,"[[-43.19361866969346, -22.955501218685402], [-43.19333673863726, -22.955771573744986], [-43.19395686636434, -22.955839210562733], [-43.19384393708964, -22.95543573401498], [-43.19302125870948, -22.955718490851073]]"
